ActualOperatingYear,ActualorExpectedCompletionYear,CarbonMonoxideCO,Classification,CoalplantCO2eequivalency,Gas-poweredvehiclesequivalency,GreenhouseGasesCO2e,HazardousAirPollutantsHAPs,HazardousAirPollutantsHAPspotentiallbsperyear,IndustrySector,MortalitycostofadditionalCO2edeaths,NitrogenOxidesNOx,OperatingStatus,OperatingStatusSourceDocuments,OperatingStatusSourceDocuments_OLD,ParticulateMatterPM25,PermittingandEmissionsAccountingNotes,ProjectDescription,ProjectType,Published,ResearchNotes,SocialcostofadditionalCO2eLowerEstimate,SocialcostofadditionalCO2eUpperEstimate,SulfurDioxideSO2,VolatileOrganicCompoundsVOC,created_by,id,id_qaqc,modified_by,project_name,xata,ProductType,ConstructionStatusLastUpdated,ProjectCostmillion,CurrentExpectedOperatingYear,OriginalExpectedOperatingYear,TotalWetlandsAffectedPermanentlyacres,TotalWetlandsAffectedTemporarilyacres,PlasticsInventory,ConstructionStatusLastChecked,PlasticsInventory_ToAdd
,2022,1.9,Expansion,0.01,4542.0,22480.0,0.8,1600.0,Natural Gas,5.0,26.5,Proposed,"[{'id': 'sutmgjl35l6sn1e1mvd4s31tvs', 'name': '2022.06.29_Northern Access_Order Granting Extension of Time.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 205280, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/1kuvbr63ep79f4bb6blkkhetfc'}]","{'name': None, 'file_name': '2022.06.29_Northern Access_Order Granting Extension of Time.PDF', 'url': 'https://api.oilandgaswatch.org/d/d4/21/d421218965864368a5a6007a390d0165.1687969583.pdf'}",1.6,Emissions taken from EA (pg 126) (Table B.8.a-5) and only reflect increases from new emission sources.,Expansion of an existing compressor station as part of the Northern Access 2016 Project.,Compressor Station,True,"Legal disputes have pushed back construction - a recent decision may allow this facility to move forward (https://www.law360.com/articles/1291950/ny-town-can-t-block-500m-gas-pipeline). On April 7, 2017, NYSDEC Issued a Notice of Denial purporting to deny National Fuel’s application for a Water Quality Certification for the New York portion of the Project, in addition to state law based stream and wetland crossing permits. However, as stated in FERC’s August 6, 2018 Order on Rehearing and Motion for Waiver Determination Under Section 401 of the Clean Water Act, NYSDEC waived its water quality certification authority under section 401 by failing to act by March 2, 2017. ",1040069.0,3874769.0,0.1,0.9,Oil and Gas Watch Bot,3965,3965,Louisa Markow,Porterville Compressor Expansion Project - Northern Access 2016,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:28.150456Z', 'version': 47}",,,,2022,,,,,,
2021,2021,0.0,Expansion,0.0,26.0,128.0,0.0,,Natural Gas,0.0,0.0,Operating,"[{'id': 'lmgp5s347h7lb9a2368k3skn54', 'name': '2021.11.22_Northern Lights 2021_Notice of In-Service for Pierz Compressor Station.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 146748, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/28h1lit9113kf1o04m09algt44'}]","{'name': None, 'file_name': '2021.11.22_Northern Lights 2021_Notice of In-Service for Pierz Compressor Station.PDF', 'url': 'https://api.oilandgaswatch.org/d/cb/d4/cbd47bf9243647d5af90ba25075ad860.1639584710.PDF'}",0.0,"Because of the electric motor-driven compressors low emissions, an air permit is not required for this project.; EA pg 104 (Table B.8.4-2) https://elibrary.ferc.gov/eLibrary/filedownload?fileid=15680012","Addition of a 1,100-HP electric motor-driven reciprocating compressor unit at the existing Pierz Compressor Station as part of the Northern Lights 2021 Expansion. For this project Northern also extended the existing control building and upgraded two buildings within the station yard. Northern also modified existing station piping.",Compressor Station,True,"The Northern Lights Expansion Project 2021 is currently under-construction. The operator, Northern Natural Gas Company, submitted a notice to proceed with construction to FERC in June 22, 2021 and expects to complete the project in Nov. 2021. ",5922.0,22063.0,0.0,0.8,Oil and Gas Watch Bot,3966,3966,Louisa Markow,Pierz Compressor Station - 2021 Northern Lights Expansion,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:28.89504Z', 'version': 47}",,,,,,,,,,
,2025,65.41,New,0.04,36598.0,181139.0,,,Natural Gas,37.0,103.71,Proposed,[],,12.91,"CM 4/26/24: emissions from V3 permit application

AS 5/25/2022: Emissions updated with values in draft V2 permit; co2e from page 86 in draft permit package

RR( pg 118 (Table 9.1-9a)","Construction of a new 21,400-horsepower compressor station as part of the Hackberry Storage Project.",Compressor Station,True,Operating date updated to match Hackberry pipeline project Year In-Service or Expected Completion Date ,8380656.0,31222051.0,2.19,36.95,Oil and Gas Watch Bot,3967,3967,CM,Pelican Compressor - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:29.608721Z', 'version': 51}",,2022-05-25T00:00:00Z,,2025,,,,,,
2022,2022,0.0,Expansion,0.0,26.0,130.54,0.0,,Natural Gas,0.0,0.0,Operating,"[{'id': 'taccd5eeml71h1eetdr63lsok0', 'name': '2022.02.28_Putnam Expansion_Notification of Commencement of Service.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 249441, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/sc9ljg7k3l3mf10p3qmr9vru2s'}]","{'name': None, 'file_name': '2022.02.28_Putnam Expansion_Notification of Commencement of Service.PDF', 'url': 'https://api.oilandgaswatch.org/d/6d/62/6d623187209a43129acebcf42e23a993.1646245007.pdf'}",0.0,,Expansion of an existing compressor station enabling bi-directional flow into the existing mainline as part of the Putnam Expansion Project.,Compressor Station,True,"Notice of Commencement of Construction submitted to FERC on 08/10/2021 - construction start date August 2, 2021. The CO2e values are for the valves that will be installed at the compressor station. According to pg 55 of the EA, ""Other than fugitive methane emissions associated with the pipeline, no operational emissions would be associated with the Project.""  The fugitive emissions (for the pipeline and valve can be found of pg 61 of the EA) pg 61 (Table 14)  https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14819349",6040.0,22501.0,0.0,0.0,Oil and Gas Watch Bot,3968,3968,Louisa Markow,Putnam Compressor Station 18,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:30.30576Z', 'version': 47}",,2022-02-25T00:00:00Z,,,,,,,,
2022,2022,11.16,New,0.01,6334.0,31348.0,5.81,11620.0,Natural Gas,6.0,17.16,Operating,"[{'id': '62jpb31q79085dmjihkbtaq9nk', 'name': '2020.10.23_Adelphia_Notice of Commencement of Construction.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 99763, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/mr5po8tvgh4sh2ljjcnjfcf3qg'}, {'id': '1q15grpgp97df5702q116o7kh4', 'name': '2022.12.28_Adelphia Gateway_Notice of Commencement of Service - 3rd QT Unit.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 149706, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/lir1bmhq310qjc54mc2cvhqk38'}]","{'name': None, 'file_name': '2020.10.23_Adelphia_Notice of Commencement of Construction.PDF', 'url': 'https://api.oilandgaswatch.org/d/95/b2/95b21f87cda24bfabe297eb9ef396a01.1646408621.pdf'}, {'name': None, 'file_name': '2022.12.28_Adelphia Gateway_Notice of Commencement of Service - 3rd QT Unit.pdf', 'url': 'https://api.oilandgaswatch.org/d/ee/0b/ee0bfc3d69a94e348a528c25a1983f1a.1672768090.pdf'}",1.91,"09-0242 (issued 4/19/2019; extended 10/2/2020); FERC Docket No. CP18-46; Nox, VOCs, HAPs, CO taken from PA Bulletin; remaining emissions increases from EA under CP18-46 for Adelphia Gateway project, pg 144 (Table B-21).",Construction of a new compressor station (with a design throughput of 250 million cubic feet per day) as part of the Adelphia Gateway Pipeline Project.,Compressor Station,True,"Status Report No. 36 under CP18-46, Reporting Period: September 11, 2021 through September 24, 2021: https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20210928-5162&optimized=false Fugitive emissions include venting / blowdown emissions.  pg 144 (Table B-21) https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14734403

Jobs nos. taken from FERC EA (CP18-46), pg. 30.

Construction of the Adelphia Gateway Project would require a total estimated
peak temporary work force of about 515 people; between 7 and 10 permanent workers would be required for operation of the Project.

Project total = 515 - (sum of both compressors, 50 + 50 max. temporary employees) = 415 for the Adelphi Gateway Project",1450360.0,5403303.0,0.11,19.93,Oil and Gas Watch Bot,3969,3969,Tyler Weiglein,Adelphia Pipeline Quakertown Compressor,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:31.042535Z', 'version': 48}",,2023-01-03T00:00:00Z,,,,,,,,
2024,2024,30.35,New,0.01,10693.0,52925.0,2.34,4680.0,Natural Gas,11.0,14.83,Operating,"[{'id': '04558f508507tbn3f8e7jqjujs', 'name': '2024.08.02_REAE_Commencement of Full Service.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 600, 'uploadUrlTimeout': 86400, 'size': 100408, 'version': 0, 'url': 'https://us-east-1.storage.xata.sh/m70jvt57bv0l4v916jrdc2n86q2jkheg'}]","{'name': None, 'file_name': '2023.03.23_REAE_Notice to Proceed with Construction.pdf', 'url': 'https://api.oilandgaswatch.org/d/a6/21/a621071c5e9245259ed7921193c7b8b2.1679689512.pdf'}, {'name': None, 'file_name': '2023.09.19_REAE_Request to Place into Partial Service.pdf', 'url': 'https://api.oilandgaswatch.org/d/11/49/1149b696a0fe45a3a185619217cef852.1695416317.pdf'}",3.09,"RK 10/7/2021: Scheduled in FERC app to apply for state AQ permit by Q4 2021

RK 10/7/2021: Has not applied for Air Permit yet. Transco plans to apply for a Preconstruction Permit and Certificate to Operate General Permit – Emergency Generator (FERC App Supplement updated schedule, pg 6); taken from FERC app, RR9, pg 748 of app (Table 9.2-13)",Construction of a new compressor station as part of the Regional Energy Access (REAE) Project.,Compressor Station,True,"According to their FERC application, ""Transco anticipates construction activities for the Project would commence in the fourth quarter of 2022 to meet a proposed in-service date of December 1, 2023"" (RR9 pg. 49). ",2448651.0,9122426.0,1.59,4.97,Oil and Gas Watch Bot,3970,3970,Louisa Markow,Compressor Station 201 - Regional Energy Access (REAE) Pipeline Expansion,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-08-14T02:56:35.288037Z', 'version': 55}",,2023-03-24T00:00:00Z,,2023,,,,,,
,2022,26.88,New,0.02,16179.0,80077.0,,,Natural Gas,16.0,26.33,Proposed,"[{'id': '3a6i33qje52sv0i5shg8tgo62k', 'name': '2023.07.19_Evangeline Pass Expansion Project_Request to Commence Construction.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 562349, 'version': 2, 'url': 'https://us-east-1.storage.xata.sh/int36e3tf1685fr7e3dv76o800'}]","{'name': None, 'file_name': '2023.07.19_Evangeline Pass Expansion Project_Request to Commence Construction.pdf', 'url': 'https://api.oilandgaswatch.org/d/de/da/dedad633871141b6974c728d285a9994.1689880784.pdf'}",4.73,"Emission generating from the new Rose Hill CS would include two natural gas-fired engine, one emergency generator, heater and fugitive emissions from ancillary equipmen FERC EA pg 137-138 (Table 28) https://elibrary.ferc.gov/eLibrary/filedownload?fileid=15607196",Construction of a new compressor station as part of the Evangeline Pass Expansion Project.,Compressor Station,True,"CM 4/3/24: construction begun on evangeline pass connector project, unclear if its commenced on this CS. I updated the expected op date to 2024 ",3704877.0,13802484.0,2.4,37.25,Oil and Gas Watch Bot,3974,3974,CM,Rose Hill Compressor - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:32.463551Z', 'version': 53}",,2024-04-03T20:59:09.927Z,,2024,2022,,,,,
,2028,,New,0.0,133.0,657.0,,,Natural Gas,0.0,,Proposed,[],,,,Construction of a new electric-driven compressor station as part of the as part of the Texas Connector Pipeline Project.,Compressor Station,True,"CM 10/7/2022: op date updated to reflect FERC time extension request until 2028
Compressor initially expected to enter service in 2020, but operating date updated to match the rest of the pipeline project (AS - 11/22/21) Electric-driven CS and so, would not generate combustion related emissions (FEIS pg 365).",30397.0,113244.0,,,Oil and Gas Watch Bot,3975,3975,Lottie Mitchell,South Compressor Station - Initial Construction,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:33.16808Z', 'version': 45}",,2022-10-07T00:00:00Z,,2028,,,,,,
2022,2022,9.1,Expansion,0.0,1667.0,8253.0,4.8,9600.0,Natural Gas,2.0,-6.8,Operating,"[{'id': '7khcgnsqep2ep5kcq40o2vs1ns', 'name': '2020.06.24_Tuscarora Xpress Project_Project Maps.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 1463780, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/26va8mv9553ajbf7ncb229uono'}, {'id': 'h6vmeqjtm51en0c1il3vu10nag', 'name': '2021.11.08_Tuscarora XPress_Notice of Commencement of Service.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 558133, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/g9brku8tfd5gd1s44ssk7pgu04'}]","{'name': None, 'file_name': '2021.11.08_Tuscarora XPress_Notice of Commencement of Service.PDF', 'url': 'https://api.oilandgaswatch.org/d/39/fa/39fa8ffedc734d6e819f9f5a911f3792.1639581897.PDF'}, {'name': None, 'file_name': '2020.06.24_Tuscarora Xpress Project_Project Maps.pdf', 'url': 'https://api.oilandgaswatch.org/d/8f/1c/8f1c3a3df9ae42d1ac5ae27d1a62b9c0.1642516114.pdf'}",0.2,"LM 1/18/2022: unsure where current emissions came from (CO2e = 6.72, PM2.5 = 0.45, NOx = 6.72, SO2 = 0.03, CO = 13.38, HAPs = 6.45) - doesn't match EA and no air permit on file. changed emissions to match pg. 27 of FERC EA","The Tuscarora Xpress Project would include modifications to an existing compressor station in Washoe County, Nevada, and would supply 15 million cubic feet of natural gas to an existing pipeline system that crosses through Oregon, California, and Nevada.",Compressor Station,True," RR9 pg 16 (Table 9-4)

LM 1/14/22: needs air permit, could not find on nevada dep website (website is actively updating though so maybe they'll upload it soon). no wetlands impacts (pg. 8 of FERC EA). deleted pipelines record and combined into project. notes from pipelines page:

The Tuscarora Gas Transmission System begins at an interconnection with Gas Transmission Northwest LLC’s pipeline system near Malin and extends 229 miles southeasterly to its terminus in Storey County, Nevada, at NV Energy’s Frank A. Tracy Generating Station.

Letter order granting Tuscarora Gas Transmission Company's 06/23/2021 request to commence construction activities for the Tuscarora XPress Project under CP20-486 issued on 7/9/2021. Project approved on 5/20/2021.",381837.0,1422530.0,0.02,7.8,Oil and Gas Watch Bot,3976,3976,Louisa Markow,Tuscarora Xpress Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:33.873274Z', 'version': 48}",,,13.0,,,0.0,0.0,,,
2022,2022,11.6,Expansion,0.02,15825.0,78322.0,0.8,1600.0,Natural Gas,16.0,25.6,Operating,"[{'id': 'eefb5t7tbh4aj8si0bi6e7fmag', 'name': '2021.11.05_Westbrook XPress Project_Notice of Commencement of Service.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 478757, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/2pivnatlk56790c05fqc9munec'}]","{'name': None, 'file_name': '2021.11.05_Westbrook XPress Project_Notice of Commencement of Service.PDF', 'url': 'https://api.oilandgaswatch.org/d/74/a3/74a3aee3f8ab40deb2d792b630486ce4.1639682177.PDF'}",4.1,,Expansion of an existing compressor station as part of the Westbrook Xpress Project Phase 2.,Compressor Station,True," Net emissions are also included in the table (Net CO2e is 234,560 tpy)  pg 46 (Table 7)  https://ferc.gov/industries/gas/enviro/eis/2020/CP20-16-EA.pdf",3623680.0,13499983.0,3.4,9.2,Oil and Gas Watch Bot,3977,3977,Alexandra Shaykevich,Westbrook Compressor - Westbrook Xpress Phase 2 Expansion Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:34.582902Z', 'version': 47}",,,,,,,,,,
2021,2021,,Expansion,0.0,23.0,112.0,,,Natural Gas,0.0,,Operating,"[{'id': 'cd3auets5t6s52gig8uhjo6p4k', 'name': '2021.7.6_In-service notification of all Facilities for West Loop Project under CP19-26.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 161116, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/s7b2c3j5e57nf0ajoc964thhms'}]","{'name': None, 'file_name': '2021.7.6_In-service notification of all Facilities for West Loop Project under CP19-26.PDF', 'url': 'https://api.oilandgaswatch.org/d/31/56/315651d49c004be18741fcb78e4bdc69.1649167276.pdf'}",,Fugitive emissions only  pg 321 https://elibrary.ferc.gov/idmws/common/OpenNat.asp?fileID=15131768,Expansion of an existing compressor station as part of the West Loop Project.,Compressor Station,True,,5182.0,19305.0,,0.036,Oil and Gas Watch Bot,3978,3978,Louisa Markow,Beaver Compressor - West Loop Expansion Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-07-30T17:49:35.348657Z', 'version': 47}",,,,,,,,,,
,2021,47.2,Expansion,0.02,19643.0,97220.0,6.0,12000.0,Natural Gas,20.0,45.1,Canceled,[],,13.1,,Expansion of an existing compressor station as part of the Wright Interconnect Project,Compressor Station,True," Values reflect proposed facilities total. Table includes values for net emissions as well. Emissions are for 2 Solar Taurus 70 Turbines, a proposed emergency generator, and dry gas leaks from 2 seals pg 349 (Table 4.11.1-6) https://elibrary.ferc.gov/idmws/file_list.asp?document_id=14263188",4498023.0,16757340.0,0.0,12.1,Oil and Gas Watch Bot,3979,3979,Tyler Weiglein,Wright Interconnect Project,"{'createdAt': '2021-09-03T18:27:33.98Z', 'updatedAt': '2024-11-22T03:21:32.485152Z', 'version': 52}",,,,,2021,,,,,
,Unknown,,New,,,,,,Petrochemicals and Plastics,,,Canceled,[],,,"P0120110 (issued 11/30/2016, expired 5/30/2018); FERC Docket No. CP15-88, Abandonment and Capacity Restoration Project - Tennessee Gas Pipeline Company, L.L.C. (authorized 9/27/2017, vacated 11/19/2018); PTE not included in OH EPA permit or FEIS (see pg. 184); wetland impacts taken from FEIS pg. 148",Construction of a new natural gas liquids storage and distribution terminal that would handle various petroleum liquids.,Natural Gas Liquids Storage Facility,True,"AS 10/14/22: OH EPA confirmed by email that the project was canceled and permit terminated in 2018, but did not provide documentation. Awaiting reply.

Construction was expected to start Q4 2018 Facility would be collocated with ACRP Compressor Station 211.5. Employment nos. from FEIS pg. 169

FOIA for permit documents submitted 6/13/2021. Need to submit another PIR for permit application or the technical evaluation to determine emissions increases.",,,,,Alexandra Shaykevich,3982,3982,Alexandra Shaykevich,Tuscarawas NGLs Storage Facility - Initial Construction,"{'createdAt': '2021-09-03T19:24:43.319Z', 'updatedAt': '2024-11-21T19:13:54.662787Z', 'version': 7}",,2022-10-14T00:00:00Z,,,Unknown,61.0,68.0,,,
2014,2014,35.92,Expansion,0.03,22798.0,112837.0,4.13,8260.0,Petrochemicals and Plastics,23.0,35.04,Operating,[],,6.65,"P0114073 (issued 9/30/2013), P0117240 (issued 9/2/2014), P0116897 (issued 10/14/2014), P0118897 (issued 8/11/2015), P0118867 (issued 9/15/2016), P124261 (issued 10/9/2018), P0127021 (issued 11/7/2019); P0114073 (issued 9/30/2013), P0117240 (issued 9/2/2014), P0116897 (issued 10/14/2014), P0118897 (issued 8/11/2015), P0118867 (issued 9/15/2016), P124261 (issued 10/9/2018), P0127021 (issued 11/7/2019). P0114073 authorized constriction of Train 1; P0117240 authorized construction of Train 2; P0118897 authorized construction of Train 3; P0124261 authorized construction of Train 4; and P0127021 authorized construction of Train 5.

Emissions from revised permit application, A0051470 (submitted August 2014) (pg. 26) - Project emissions increases; when combined with emissions authorized by P0114073, emissions totals for CO2e are ~8.4k less than post-project emissions given in permit application. Most likely attributed to emissions increases authorized by admin mod P0115910 (issued 1/31/2014) -- NOT accounted for in EIP total","Construction of a second 60,000 barrel per day fractionation train at the Hopedale Facility.",Natural Gas Liquids Fractionator,True,"Fractionation Train 2 began operating in 2014 (see: https://www.mplx.com/content/documents/mplx/investor_center/2017/MarcellusUtica%20Midstream%202017%20v3.pdf) Trains 1 and 2 began operating in 2014
http://www.mplx.com/content/documents/mplx/investor_center/2017/MarcellusUtica%20Midstream%202017%20v3.pdf
Trains 3 and 4 began operating in 2018
https://www.mplx.com/content/documents/mplx/investor_center/2019/UBS_Jan_2019_Investor_Presentation_Final.pdf
Train 5 is expected to enter service in 2020
http://www.mplx.com/content/documents/mplx/investor_center/2020/MPLX_1Q20_Conf_Call_Slides.pdf

Trains 1-4 are capable of processing up to 60,000 barrels per day of NGLs to produce propane, normal butane, isobutane, and natural gasoline. Train 5 will process up to 80,000 barrels per day of NGLs.",5220566.0,19449166.0,0.52,26.66,Alexandra Shaykevich,3987,3987,Alexandra Shaykevich,Hopedale Fractionation Train 2,"{'createdAt': '2021-09-03T20:22:12.878Z', 'updatedAt': '2024-07-30T17:49:36.790988Z', 'version': 45}",,,,,,,,,,
